kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
Dewi Sri,M. HASEMI RAFSANJANI,C,Kurikulum 2013,-,TK NEGERI PULAU PARI 01,87B50624DCF8423E8396,69768535,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768535 TK NEGERI PULAU PARI 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,-,413840,2 Mb,PENDIDIKAN RT. 002/04 PULAU PARI,PULAU PARI,Pulau Pari,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,0,0,2,4
PLT - Yeyet Suprapti,IMAM WARDANI,B,Kurikulum 2013,-,SPS NEGERI BALE BERMAIN SAHABAT ANAK,F9068564B8F2E1D56346,69990088,Negeri,SPS,Pemerintah Daerah,1577 Tahun 2019,2019-10-31,1577 Tahun 2019,2019-10-31,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69990088 SPS NEGERI BB SA BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,3300,30 Mb,Jl. Pluit Raya No.5 RT.21/RW.08 (Kantor Kecamatan Penjaringan),Penjaringan,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,-6,106,21,8
PLT - Kaswiyah,Mohamad Robbiandi Alamsyah,B,Kurikulum 2013,-,TK NEGERI PULAU TIDUNG 01,EE848173DE0E4B147643,69768531,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768531 TK NEGERI PULAU TIDUNG 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,3 Mb,JL. KAMPUNG BARU RT. 001/01,Pulau Tidung,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,1,1
Nurbaiti,PAUD BAWAL BAHARI,C,Kurikulum 2013,Pagi,PAUD BAWAL BAHARI,BD7F1B3D187D0EFE04A2,69857234,Swasta,SPS,Lainnya,3860/PNFI-SPS/JU/IX/2013,2013-09-24,3860/PNFI-SPS/JU/IX/2013,2013-09-24,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857234 PAUD BAWAL BAHARI BOPP,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Tidak Ada,JL. KAMAL MUARA RT 001 RW 001,Kamal Muara,Kamal Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14470,0,0,2,1
YUSLI MASHUDI,MUNJIRIN,B,Kurikulum 2013,-,TK NEGERI PULAU TIDUNG 02,039CA5F97782AEFE514C,69768532,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768532 TK NEGERI PULAU TIDUNG 02 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,5 Mb,Jl. Lapangan Hijau RT. 005/03 Pulau Tidung,PULAU TIDUNG,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,5,3
PLT - Setyowati Susilo,Setyowati Susilo,,Kurikulum 2013,-,PAUD TERATAI,428F348018F13D0FE068,69880119,Swasta,SPS,Yayasan,3893/PNFI-SPS/JU/IX/2013,2013-09-26,3893/PNFI-SPS/JU/IX/2013,2013-09-26,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69880119 PAUD TERATAI BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,0,Tidak Ada,JL. KAPUK MUARA RT 005 RW 001,-,Kapuk Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14460,-5,114,5,1
MAHMUDAH,ABDUL RAUF,B,Kurikulum 2013,-,TK NEGERI PULAU TIDUNG 03,35EDD7B7EF2777B2B4C7,69768533,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768533 TK NEGERI PULAU TIDUNG 03 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,Lainnya (Serat Optik),Jl. Pendidikan Rt. 007/02,Pulau Tidung,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,7,2
Eka Susiyanti,Salma Rusdiyanti,C,Kurikulum 2013,-,BKB PAUD BAWAL,9364D104827A5C1225BD,69910765,Swasta,SPS,Lainnya,152 Tahun 2014,2014-04-28,3668/PNFI-SPS/JU/XI/2014,2014-11-26,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69910765 BKB PAUD BAWAL BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,300 Mb,Jl. Kalibaru Barat IV Rt.011 Rw.007,Kalibaru,Kali Baru,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14110,0,0,11,7
Siti Wahyuningsih,TK DAARUL MUTTAQIEN,C,Kurikulum 2013,-,TK Daarul Muttaqien,6EA6FE4A2521FA944405,69790684,Swasta,TK,Yayasan,20/2007,2006-04-25,001/YAM/IV/07,2006-04-25,Tidak ada,BPD DKI,KL Dinas Pendidikan,69790684 TK Daarul Muttaqien BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,10000,3 Mb,Duri Utara I,,Duri Utara,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11270,-6,106,5,7
MUKHLIS,Dede Azhari,B,Kurikulum 2013,-,TK NEGERI PULAU UNTUNG JAWA 01,7607BDD34B4CD3A6A0F2,69768536,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768536 TK NEGRI PULAU UNTNG JW 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,30 Mb,JL. PULAU NIRWANA RT. 002/03,,Pulau Untung Jawa,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14510,-5,114,2,3
