kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
PLT - Yeyet Suprapti,IMAM WARDANI,B,Kurikulum 2013,-,SPS NEGERI BALE BERMAIN SAHABAT ANAK,F9068564B8F2E1D56346,69990088,Negeri,SPS,Pemerintah Daerah,1577 Tahun 2019,2019-10-31,1577 Tahun 2019,2019-10-31,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69990088 SPS NEGERI BB SA BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,3300,30 Mb,Jl. Pluit Raya No.5 RT.21/RW.08 (Kantor Kecamatan Penjaringan),Penjaringan,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,-6,106,21,8
Siti Wahyuningsih,TK DAARUL MUTTAQIEN,C,Kurikulum 2013,-,TK Daarul Muttaqien,6EA6FE4A2521FA944405,69790684,Swasta,TK,Yayasan,20/2007,2006-04-25,001/YAM/IV/07,2006-04-25,Tidak ada,BPD DKI,KL Dinas Pendidikan,69790684 TK Daarul Muttaqien BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,10000,3 Mb,Duri Utara I,,Duri Utara,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11270,-6,106,5,7
Nurbaiti,PAUD BAWAL BAHARI,C,Kurikulum 2013,Pagi,PAUD BAWAL BAHARI,BD7F1B3D187D0EFE04A2,69857234,Swasta,SPS,Lainnya,3860/PNFI-SPS/JU/IX/2013,2013-09-24,3860/PNFI-SPS/JU/IX/2013,2013-09-24,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857234 PAUD BAWAL BAHARI BOPP,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Tidak Ada,JL. KAMAL MUARA RT 001 RW 001,Kamal Muara,Kamal Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14470,0,0,2,1
PLT - Setyowati Susilo,Setyowati Susilo,,Kurikulum 2013,-,PAUD TERATAI,428F348018F13D0FE068,69880119,Swasta,SPS,Yayasan,3893/PNFI-SPS/JU/IX/2013,2013-09-26,3893/PNFI-SPS/JU/IX/2013,2013-09-26,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69880119 PAUD TERATAI BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,0,Tidak Ada,JL. KAPUK MUARA RT 005 RW 001,-,Kapuk Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14460,-5,114,5,1
Rahmawati,Devi Rahmawati Putri,,Kurikulum 2013,-,TK Dewi Sartika,C4655D0B9E8D80BF1351,69832204,Swasta,TK,Yayasan,1,1994-07-01,143/2008,2008-10-17,Tidak ada,BPD DKI,KL Dinas Pendidikan,69832204 TK Dewi Sartika BOPP,Bersedia Menerima,-,Proses Sertifikasi,PLN,1300,40 Mb,Tambora III/7 Rt 03/05 No.6,Tambora,Tambora,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11220,-5,114,3,5
Dewi Sri,M. HASEMI RAFSANJANI,C,Kurikulum 2013,-,TK NEGERI PULAU PARI 01,87B50624DCF8423E8396,69768535,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768535 TK NEGERI PULAU PARI 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,-,413840,2 Mb,PENDIDIKAN RT. 002/04 PULAU PARI,PULAU PARI,Pulau Pari,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,0,0,2,4
HASAN AZHARY,BKB PAUD AL HIDAYAH,,Kurikulum 2013,-,BKB PAUD AL HIDAYAH,40F8B853444E765783D1,69971893,Swasta,SPS,Yayasan,016/1.14.1/31.72.001/1.851.192/2006,2016-11-02,016/1.14.1/31.72.001/1.851.192/2006,2016-11-02,"B,H,J",BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69971893 BKB PAUD AL HIDAYAH BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,1200,300 Mb,Jl. Rusun Waduk Pluit Blok 9 Lantai Dasar RT.23/17,penjaringan,Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14440,0,0,23,17
Rinny Rachmatuty,Rinny Rachmatuty,A,Kurikulum 2013,Sehari penuh (5 h/m),TK Dhammasavana,55246013AFFADAA85145,69856828,Swasta,TK,Yayasan,137,2009-01-19,384-5/1851332,2011-03-25,Tidak ada,BPD DKI,KL Dinas Pendidikan,69856828 TK Dhammasavana BOPP,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,16500,Tidak Ada,Jl. Padamulya VI No. 176-B,,Angke,Kec. Tambora,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11330,-6,106,3,9
Umi Kulsum,Lintang,,Kurikulum 2013,-,BKB PAUD ANGGREK 01,74EAE7ACC90B54825D95,69857239,Swasta,SPS,Lainnya,2/A.6/31.72.01.1004/-1.851.192/2017,2017-12-07,2/A.6/31.72.01.1004/-1.851.192/2017,2017-12-07,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857239 BKB PAUD ANGGREK 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,0,Tidak Ada,JL. JEMB. GAMBANG II RT.12/RW.01,,Pejagalan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14450,0,0,12,1
PLT - Kaswiyah,Mohamad Robbiandi Alamsyah,B,Kurikulum 2013,-,TK NEGERI PULAU TIDUNG 01,EE848173DE0E4B147643,69768531,Negeri,TK,Pemerintah Daerah,1053 tahun 2018,2018-07-09,1053 tahun 2018,2018-07-09,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69768531 TK NEGERI PULAU TIDUNG 01 BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,3 Mb,JL. KAMPUNG BARU RT. 001/01,Pulau Tidung,Pulau Tidung,Kec. Kepulauan Seribu Selatan,Kab. Kepulauan Seribu,Prov. D.K.I. Jakarta,14520,-5,106,1,1
