OS SYSTEM:    Windows
CPU CORES:    4
CHROME PATH:     webdriver\chrome\Windows\v116_0_5845_96\chromedriver.exe
sekolah_urls:  441570
getting sekolah profile
404:  https://dapo.kemdikbud.go.id/sekolah/EBD0D4BF7380479FDF4D
404:  https://dapo.kemdikbud.go.id/sekolah/2D96FFCF1EB94D26F64D
404:  https://dapo.kemdikbud.go.id/sekolah/E77110EBDCCCCDCB56A7
404:  https://dapo.kemdikbud.go.id/sekolah/D1A22F2E458AD98B247B
404:  https://dapo.kemdikbud.go.id/sekolah/4B3D4DB5B49546D3CD3F
404:  https://dapo.kemdikbud.go.id/sekolah/CA90B951EDAFB192E750
404:  https://dapo.kemdikbud.go.id/sekolah/CAC5354747CEFFBDDC32
404:  https://dapo.kemdikbud.go.id/sekolah/308A9D3E8E85ECD6CBC5
404:  https://dapo.kemdikbud.go.id/sekolah/BCDAFA26FDB1F875B49E
404:  https://dapo.kemdikbud.go.id/sekolah/C75C97F6E59C8ECA81FD
404:  https://dapo.kemdikbud.go.id/sekolah/A3DB9ED2A4B7A7DA06BC
404:  https://dapo.kemdikbud.go.id/sekolah/3AF5C869586DA86D2F63
404:  https://dapo.kemdikbud.go.id/sekolah/22D8BB38EC44B98F47AB
404:  https://dapo.kemdikbud.go.id/sekolah/843737FF169D229EB9FB
404:  https://dapo.kemdikbud.go.id/sekolah/92D538E3BED8CB204E92
404:  https://dapo.kemdikbud.go.id/sekolah/0D4F9B92F53B59B01287
404:  https://dapo.kemdikbud.go.id/sekolah/842005640D9A34A09500
404:  https://dapo.kemdikbud.go.id/sekolah/F0BE8B6AE963CCCD937C
404:  https://dapo.kemdikbud.go.id/sekolah/6A3A6D0A737ACB364C95
404:  https://dapo.kemdikbud.go.id/sekolah/A84E95009F9EEE8FED5D
404:  https://dapo.kemdikbud.go.id/sekolah/D06832E0C5F93C674141
404:  https://dapo.kemdikbud.go.id/sekolah/622A00F0EF8BF6BC9DDC
