kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
Ani Kuswati,Novi Fardiana,B,Kurikulum 2013,Pagi,SDN CIBODAS 03,81B1B5EAC9DA5E7690EC,20207836,Negeri,SD,Pemerintah Daerah,111/PSD/1977,1975-01-01,-,1989-08-01,Tidak ada,Bank Jabar,Ciwidey,SDN Cibodas III,Bersedia Menerima,Pagi,Proses Sertifikasi,PLN,1300,20 Mb,Kmp. Leuwiliang RT. 02 RW. 01,,Mekarsari,Kec. Pasirjambu,Kab. Bandung,Prov. Jawa Barat,40972,-7,107,2,1
,,,,-,TK AL ZAMZAMI,D01B86C8EBAEC1F94745,70043099,Swasta,TK,Yayasan,3,2008-11-24,1/A.1/31.72.04.1007.9.R-1/4/TM.08.28/e/2023,2023-09-07,Tidak ada,,,,-,-,-,-,,,"JL TIPAR TIMUR NO 63, RT. 015, RW. 004",,Semper Barat,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,,0,0,,
Uju Juariah,Asep Kurniawan,B,Kurikulum 2013,Kombinasi,SDN TENJOLAYA 2,9A09BB1978C89D3BD945,20205848,Negeri,SD,Pemerintah Pusat,,1960-07-01,-,1910-01-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG KCP RANCAEKEK...,SDNTENJOLAYA2...,Bersedia Menerima,Kombinasi,9001:2008,PLN,900,50 Mb,Jalan Raya Barat Nomor 141 Cicalengka,,Tenjolaya,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,-6,107,1,1
Nawawi Somdani,Anggi Segara Hidayat,C,Kurikulum 2013,Pagi,SD NEGERI NEGLASARI,00728A89F410E480AF8A,20253355,Negeri,SD,Pemerintah Daerah,277/PSD/1977,1977-07-01,SK NO.277/PSD/1977,1977-07-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG CIANJUR...,DANABOSSDNNEGLASARI...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,3 Mb,Jln. Cimatis Kp. Neglasari,Neglasari,Cirama Girang,Kec. Cikalong Kulon,Kab. Cianjur,Prov. Jawa Barat,43291,-6,107,1,4
PLT - Lilis Jubaedah,NITA MUSTIKAWATI,B,Kurikulum 2013,Pagi,SDN CIBODAS 04,7AE71AA4737AF8DCA562,20207856,Negeri,SD,Pemerintah Daerah,129/Psd/1985,1985-01-02,-,1910-01-01,Tidak ada,Bank Jabar Banten,Ciwidey,SDN Cibodas 04,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Tidak Ada,Kmp. Cibodas RT. 01/02,,Cibodas,Kec. Pasirjambu,Kab. Bandung,Prov. Jawa Barat,40972,-7,107,1,2
Ane Supriat Hudiyamiharja,Andriyansyah,B,Kurikulum 2013,Kombinasi,SDN TENJOLAYA 3,6F49B3AAF5F61F3B09E2,20205931,Negeri,SD,Pemerintah Daerah,800/0497.003-Disdik,1976-07-01,800/0497.003-Disdik,2023-02-14,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG MAJALAYA...,SDNTENJOLAYA3...,Bersedia Menerima,Kombinasi,Belum Bersertifikat,PLN,900,40 Mb,Kp. Cipeutag,Kp. Cipeutag,Tenjolaya,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,-6,107,4,7
Dahlan,Ahmad Pauzi,Tidak Terakreditasi,Kurikulum 2013,Pagi,SD NEGERI PADAJAYA,CD300ECE1E634824C372,20203307,Negeri,SD,Pemerintah Pusat,SK.01/05/1978,1978-05-01,42 Tahun 2009,2009-03-25,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG CIANJUR...,DANABOSSDNPADAJAYA...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,20 Mb,Jl.Cikalongkulon-Mariwati Kp.Belender Desa Padajaya,,Padajaya,Kec. Cikalong Kulon,Kab. Cianjur,Prov. Jawa Barat,43291,-6,107,7,2
,,,,-,SDI TEBUIRENG ABDUL WAHID HASYIM,B2F380FC648BB32706F1,70043288,Swasta,SD,Yayasan,"09,-",2019-05-16,1/A.2a/31.74.09.1003.24.SPU-1/4/TM.08.29/e/2023,2023-09-13,Tidak ada,,,,-,-,-,-,,,"Jl. Al-Munawaroh No. 12, RT. 002, RW. 005",,Ciganjur,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,,0,0,,
Nina Herlinawati,DAMAR ARI PRASETYO,A,Kurikulum 2013,Pagi,SDN CIHANJAWAR 01,AA5C6A97DDF8B0EE6D68,20208152,Negeri,SD,Pemerintah Daerah,,1936-01-01,-,1910-01-01,"H,K",BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG CIWIDEY...,SDNCIHANJAWAR01...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1200,20 Mb,Jl. Tenjolaya,Pamekaran,MARGAMULYA,Kec. Pasirjambu,Kab. Bandung,Prov. Jawa Barat,40972,-7,107,2,15
"Cece Sunarya, S.pd",Yunara,B,Kurikulum 2013,Pagi,SD NEGERI PADAMULYA,4B0BBED0A013DB5FB01B,20203315,Negeri,SD,Pemerintah Pusat,1142/PSD/1979,1977-02-20,42 Tahun 2009,1979-11-01,Tidak ada,bjb,Cabang Cianjur,SD Negeri Padamulya,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Tidak Ada,Padamulya,Padamulya,Mekarjaya,Kec. Cikalong Kulon,Kab. Cianjur,Prov. Jawa Barat,43291,-6,107,1,7
