kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
RISMIYATUN,Rismiyatun,B,Kurikulum 2013,-,KB SADEWO,F4A83BEE2A129A745CE1,69839803,Swasta,KB,Lainnya,421/109/KPTS/2012,2011-12-01,421/109/KPTS/2012,2012-03-12,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM GIRIMULYO,69839803 KB SADEWO,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,3 Mb,KEBONROMO,KEBONROMO,Giripurwo,Kec. Girimulyo,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55674,-7,110,33,11
PLT - NOVIKA ROHCHRISMA PAMULAD,Rokhani,,Kurikulum 2013,-,KB SRIKANDI,C27EE3DA1DED1F9046C6,69839804,Swasta,KB,Lainnya,,,421/116/KPTS/2012,2012-03-12,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM GIRIMULYO,69839804 KB SRIKANDI,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,Tidak Ada,BANJARAN,BANJARAN,GIRIPURWO,Kec. Girimulyo,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55674,0,0,51,18
SUMIWARNA,Nurnaningsih,B,Kurikulum 2013,-,KB TUNAS BANGSA,4BCA9E4B74BFD8CA4B6D,69839809,Swasta,KB,Lainnya,,,007 TAHUN 2013,2013-02-07,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM GIRIMULYO,69839809 KB TUNAS BANGSA,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,Tidak Ada,TILENG,TILENG,PENDOWOREJO,Kec. Girimulyo,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55674,0,0,52,24
PLT - KASMIYATI,Sudaryati,C,Kurikulum 2013,-,KB TUNAS HARAPAN,E22BCD411CB64EE07FFC,69839816,Swasta,KB,Lainnya,,,421.9/1872,2007-03-13,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM GIRIMULYO,69839816 KB TUNAS HARAPAN,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,3 Mb,WONOSARI,Wonosari,PURWOSARI,Kec. Girimulyo,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55674,-5,114,19,10
SARNO,Suparyanti,C,Kurikulum 2013,-,KB TUNAS HARAPAN,3FFCA3B1191C09873BF2,69839808,Swasta,KB,Yayasan,,,4219 / 2317,2008-03-23,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM GIRIMULYO,69839808 KB TUNAS HARAPAN,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,3 Mb,MUTEN,MUTEN,PENDOWOREJO,Kec. Girimulyo,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55674,0,0,6,3
Karman,Rahmat Santoso,A,Kurikulum 2013,-,SDN WOTAWATI GIRISUBO,328C1D9F561C235A4FEB,20402062,Negeri,SD,Pemerintah Daerah,125/KPTS/1991,1991-04-01,125/KPTS/1991,1991-04-01,Tidak ada,BPD DIY,Wonosari,SDN Wotawati,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,30 Mb,"Bendo, Jerukwudel, Girisubo, Gunungkidul",Bendo,Jerukwudel,Kec. Girisubo,Kab. Gunung Kidul,Prov. D.I. Yogyakarta,55883,-8,110,0,0
PLT - SUTILAH,Sutilah,,Kurikulum 2013,-,KB TUNAS INSAN MANDIRI,A976D3EB9DF082158805,69839791,Swasta,KB,Lainnya,,,4219/1870,2008-07-31,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM GIRIMULYO,69839791 KB TUNAS INSAN MANDIRI,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,Tidak Ada,KEMBANG,KEMBANG,JATIMULYO,Kec. Girimulyo,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55674,0,0,45,10
PLT - Tarsisius Sugiyanta,Ridhu Yesanto,A,Kurikulum 2013,-,SD BOPKRI KARANGAWEN GIRISUBO,4B9912582A519F7A466D,20402168,Swasta,SD,Yayasan,239/Um-BP/VIII/1992,1992-08-21,125/KPTS/1991,1991-04-01,Tidak ada,BPD YOGYAKARTA...,BPD YOGYAKARTA CABANG KARANGMOJO...,SDBOPKRIKARANGAWENGIRISUBOGK...,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,Tidak Ada,"Karangawen, Girisubo, Gunungkidul",Kepuh,Karangawen,Kec. Girisubo,Kab. Gunung Kidul,Prov. D.I. Yogyakarta,55883,-8,110,1,1
PLT - SURYANI,Isti Zumaroh,,Kurikulum 2013,-,KB TUNAS MELATI,7206F7D764FD48735A51,69839820,Swasta,KB,Lainnya,,,421.9/1867,2008-07-31,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM GIRIMULYO,69839820 KB TUNAS MELATI,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,3 Mb,NGAGLIK,NGAGLIK,PURWOSARI,Kec. Girimulyo,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55674,0,0,26,13
ANIS OKTAVIA,ANIS OKTAVIA,C,Kurikulum 2013,Pagi,KB MUTIARA BUNDA DOHOAGUNG,0EFAE81E0DDF1E185871,69874790,Swasta,KB,Yayasan,7459/W/IV/2015,2015-04-01,503.67/164/437.74/2021,2021-05-31,Tidak ada,BPD JAWA TIMUR,CAPEM BALONGPANGGANG,69874790 KB MUTIARA BUNDA,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,450,5 Mb,Jl. Kahuripan,KAHURIPAN,Dohoagung,Kec. Balong Panggang,Kab. Gresik,Prov. Jawa Timur,61173,-7,112,1,1
Ruslan,MALINDA,,Kurikulum 2013,-,SD MUHAMMADIYAH UNGGULAN AL-FALAH GIRISUBO,6EB2E349105B48EF9EC4,70024066,Swasta,SD,Yayasan,193/KEP/III.0/D/2020,2020-11-11,114/KPTS/2020,2020-10-05,Tidak ada,,,,Bersedia Menerima,-,Belum Bersertifikat,PLN,3500,Tidak Ada,"Jalan Sadeng Km 5, Nglindur, Girisubo",NGLINDUR WETAN,Nglindur,Kec. Girisubo,Kab. Gunung Kidul,Prov. D.I. Yogyakarta,55884,-8,110,4,1
